Stats for January 2018
Weber State University - Stewart Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Weber County (UT) World War II POW Camp 1943-1946,mwdl.org/collections/1157.php,1,1,00:00:00,1,100.00%,100.00%
Dee School of Nursing: Oral History Project and Yearbooks,mwdl.org/collections/1212.php,1,1,00:00:01,0,0.00%,0.00%
Weber Stake Academy Yearbook 1905-1918,mwdl.org/collections/1213.php,1,1,00:00:01,0,0.00%,0.00%
Weber Normal College Yearbooks 1919-1923,mwdl.org/collections/1245.php,1,1,00:00:01,0,0.00%,0.00%
Weber State University Buildings 1 and 2: A Photo History,mwdl.org/collections/1248.php,1,1,00:00:01,0,0.00%,0.00%
Rich  Dr. Edward I. and Emily Almira Cozzens Diaries,mwdl.org/collections/1841.php,1,1,00:00:01,0,0.00%,0.00%
Utah Construction Company History by E. R. Lubbers,mwdl.org/collections/1842.php,1,1,00:00:01,0,0.00%,0.00%
Utah Construction Company: Stockholder Ledgers,mwdl.org/collections/1853.php,1,1,00:00:01,0,0.00%,0.00%
Utah International - General Electric Merger Documents,mwdl.org/collections/1854.php,1,1,00:00:01,0,0.00%,0.00%
Weber Stake Academy Catalogue 1897-1908,mwdl.org/collections/1859.php,1,1,00:00:00,1,100.00%,100.00%
Weber State Historical Publications,mwdl.org/collections/1860.php,1,1,00:00:01,0,0.00%,0.00%
Weber State Oral History Project,mwdl.org/collections/1863.php,1,1,00:00:01,0,0.00%,0.00%
Weber State Whip Club Scrapbook,mwdl.org/collections/2015.php,1,1,00:00:01,0,0.00%,0.00%
Weber State University Student Master's Theses,mwdl.org/collections/2019.php,1,1,00:00:01,0,0.00%,0.00%
Weber State Bell Tower History Scrapbook,mwdl.org/collections/2020.php,1,1,00:00:01,0,0.00%,0.00%
Weber Stake Academy Literary Magazine The Acorn 1904-1916,mwdl.org/collections/2021.php,1,1,00:00:01,0,0.00%,0.00%
Weber State Catalog 1896 to Present,mwdl.org/collections/2023.php,1,1,00:00:01,0,0.00%,0.00%
Weber State Literary Publications 1904 to 1980,mwdl.org/collections/2024.php,1,1,00:00:01,0,0.00%,0.00%
