Stats for December 2017
unpublished
- Collection in the Mountain West Digital Library,mwdl.org/collections/1693.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1694.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Mining History in Idaho,mwdl.org/collections/1807.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1887.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1888.php,1,1,00:00:00,1,100.00%,100.00%
 %newline% The Linford/Richards papers document the lives of James H. Linford Jr., an educator, and his wife Mary Hooper Blood Linford , sister of Utah's seventh governor, Henry H. Blood. Also included are the papers of Lorenzo A. Richards, a physicist who specialized in agronomy, and his wife Zilla Linford Richards, niece of Utah's seventh governor, Henry H. Blood. The collections consist of journals, correspondence, day planners, and other materials.
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Linford and Richards Family Collection,mwdl.org/collections/1903.php,1,1,00:00:09,0,0.00%,0.00%
Linford and Richards Family Collection,www.mwdl.org/collections/1903.php,1,1,00:00:00,0,0.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Turning of the Wheel Collection,mwdl.org/collections/1951.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1969.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1972.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1978.php,1,1,00:00:34,1,0.00%,0.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
- Collection in the Mountain West Digital Library,mwdl.org/collections/1984.php,1,1,00:00:00,1,100.00%,100.00%
unpublished
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
