Stats for January
University of Nevada, Las Vegas, University Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Nevada Test Site Oral History Project,mwdl.org/collections/1227.php,1,1,0:00:05,0,0.00%,0.00% 
Southern Nevada Boomtown Years,mwdl.org/collections/1295.php,1,1,0:00:00,0,0.00%,100.00% 
Menus: The Art of Dining,mwdl.org/collections/1563.php,1,1,0:00:03,0,0.00%,0.00% 
Stats for June
University of Nevada, Las Vegas, University Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
African American Experience,mwdl.org/collections/1941.php,13,7,00:01:28,1,100.00%,7.69%
Showgirls Collection,mwdl.org/collections/1201.php,3,3,00:00:35,0,0.00%,33.33%
Menus: The Art of Dining,mwdl.org/collections/1563.php,2,1,00:00:52,0,0.00%,0.00%
African American Experience,www.mwdl.org/collections/1941.php,2,2,00:00:12,1,100.00%,50.00%
Charles Saladino Landscape Architecture Collection,mwdl.org/collections/1837.php,1,1,00:00:00,0,0.00%,100.00%
Stats for May
University of Nevada, Las Vegas, University Libraries
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Las Vegas and Water in the West,mwdl.org/collections/1203.php,3,3,0:00:27,1,100.00%,33.33%
Nevada Test Site Oral History Project,mwdl.org/collections/1227.php,2,2,0:00:00,2,100.00%,100.00%
Dreaming the Skyline: Resort Architecture and the New Urban Space,mwdl.org/collections/1836.php,2,1,0:00:07,0,0.00%,0.00%
Showgirls Collection,mwdl.org/collections/1201.php,1,1,0:00:04,0,0.00%,0.00%
Southern Nevada and Las Vegas History in Maps,mwdl.org/collections/1202.php,1,1,0:00:04,0,0.00%,0.00%
Southern Nevada Boomtown Years,mwdl.org/collections/1295.php,1,1,0:00:09,0,0.00%,0.00%
Las Vegas and Water in the West,www.mwdl.org/collections/1203.php,1,1,0:00:06,0,0.00%,0.00%
