Stats for January 2018
Utah State University - Merrill-Cazier Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Ranch Family Documentation,mwdl.org/collections/1866.php,1,1,00:00:01,0,0.00%,0.00%
Regreening of Cache Valley,mwdl.org/collections/1867.php,1,1,00:00:01,0,0.00%,0.00%
Monumental Highway Collection,mwdl.org/collections/2075.php,1,1,00:00:01,0,0.00%,0.00%
Mormon History Association
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Journal of Mormon History,mwdl.org/collections/1649.php,2,2,00:00:01,1,100.00%,50.00%
Mendon (UT)
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Mendon (UT): A Page from the Past,mwdl.org/collections/1536.php,2,2,00:11:12,0,0.00%,0.00%
Utah State University - USU Press
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Utah State University Press Publications,mwdl.org/collections/1650.php,1,1,00:00:01,0,0.00%,0.00%
Stats for March 2018
Utah State University - Merrill-Cazier Library
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Latino Voices of Cache Valley,mwdl.org/collections/1229.php,5,3,00:02:59,1,0.00%,0.00%
Old Ephraim,mwdl.org/collections/1281.php,5,5,00:02:19,2,100.00%,40.00%
Intermountain Indian School,mwdl.org/collections/1612.php,4,2,00:00:13,1,100.00%,25.00%
Utah State University Buzzer Yearbooks,mwdl.org/collections/1241.php,3,2,00:01:51,1,0.00%,33.33%
Topaz Japanese-American Relocation Center Digital Collection,mwdl.org/collections/1136.php,2,2,00:02:29,2,50.00%,50.00%
De Viller's Book of Hours: 15th Century Illuminated Manuscript,mwdl.org/collections/1240.php,2,2,00:00:00,2,100.00%,100.00%
Compton Studio Photographs,mwdl.org/collections/1788.php,2,1,00:00:17,0,0.00%,0.00%
Forest Ranger Daybooks of Aaron P. Christiansen,mwdl.org/collections/1789.php,2,2,00:00:00,2,100.00%,100.00%
Western Photographers,mwdl.org/collections/1792.php,2,2,00:04:55,0,0.00%,0.00%
Regreening of Cache Valley,mwdl.org/collections/1867.php,2,2,00:05:16,1,100.00%,50.00%
Alfred G. Erickson Photograph Collection,mwdl.org/collections/2031.php,2,1,00:01:29,0,0.00%,0.00%
Utah State University Historical Photograph Collection,mwdl.org/collections/1137.php,1,1,00:08:34,0,0.00%,0.00%
Death Valley Region Photograph Collection,mwdl.org/collections/1138.php,1,1,00:00:00,1,100.00%,100.00%
Utah's Most Elusive: Hard-to-Find Government and Scientific Reports,mwdl.org/collections/1139.php,1,1,00:19:54,0,0.00%,0.00%
Practicing Medicine: A Historical Glimpse at Utah and Beyond,mwdl.org/collections/1167.php,1,1,00:02:08,0,0.00%,0.00%
History of Science,mwdl.org/collections/1228.php,1,1,00:00:00,0,0.00%,100.00%
Utah State University Special Collections Digital Exhibits,mwdl.org/collections/1233.php,1,1,00:11:08,0,0.00%,0.00%
FolkBistro,mwdl.org/collections/1264.php,1,1,00:00:00,1,100.00%,100.00%
Singin' Sam Agins Collection,mwdl.org/collections/1544.php,1,1,00:11:11,0,0.00%,0.00%
Utah Folklorists Image Collection,mwdl.org/collections/1561.php,1,1,00:03:27,0,0.00%,0.00%
Design Workshop Landscape Architecture Archive,mwdl.org/collections/1611.php,1,1,00:00:00,1,100.00%,100.00%
Paul Jones  the Portal  and the Building of St. John's Episcopal Church,mwdl.org/collections/1613.php,1,1,00:08:19,0,0.00%,0.00%
Lincoln Ellison  U.S. Forest Service,mwdl.org/collections/1616.php,1,1,00:04:49,0,0.00%,0.00%
William D. Hurst Papers,mwdl.org/collections/1638.php,1,1,00:07:12,0,0.00%,0.00%
Logan Canyon Reflections,mwdl.org/collections/1791.php,1,1,00:00:00,0,0.00%,100.00%
Frances Winton Champ Music Collection,mwdl.org/collections/1793.php,1,1,00:01:51,0,0.00%,0.00%
Ranch Family Documentation,mwdl.org/collections/1866.php,1,1,00:05:25,0,0.00%,0.00%
Monumental Highway Collection,mwdl.org/collections/2075.php,1,1,00:09:17,0,0.00%,0.00%
Barre Toelken Fieldwork Image Collection,mwdl.org/collections/2116.php,1,1,00:00:00,1,100.00%,100.00%
Mormon History Association
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Journal of Mormon History,mwdl.org/collections/1649.php,5,3,00:00:39,3,33.33%,60.00%
Mendon (UT)
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Mendon (UT): A Page from the Past,mwdl.org/collections/1536.php,1,1,00:11:09,0,0.00%,0.00%
Utah State University - USU Press
Collection Title,Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Utah State University Press Publications,mwdl.org/collections/1650.php,1,1,00:00:08,0,0.00%,0.00%
