Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.mwdl.org/collections/EmeryCountyUTHistoryPhotographs.php,4,3,00:00:15,2,50.00%,25.00%,$0.00
www.mwdl.org/collections/OremUTSchoolYearbooks.php,4,4,00:00:06,3,33.33%,50.00%,$0.00
www.mwdl.org/collections/UintahCountyRegionalHistoryCenterCollection.php,4,4,00:00:18,0,0.00%,50.00%,$0.00
www.mwdl.org/collections/WesternWatersPhotographCollection.php,4,2,00:00:43,0,0.00%,25.00%,$0.00
mwdl.org/ampcollections/RegreeningofCacheValley.php,3,2,00:01:04,2,50.00%,66.67%,$0.00
mwdl.org/collections/AllenLeighPhotographs.php,3,3,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/collections/BearRiverWatershedHistoricalCollection.php,3,3,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/collections/BoiseIDDevelopmentCollection.php,3,3,00:01:42,0,0.00%,0.00%,$0.00
mwdl.org/collections/CharlesRaymondVarleySlides18681986.php,3,3,00:00:04,1,100.00%,33.33%,$0.00
mwdl.org/collections/DialogueAJournalofMormonThought.php,3,3,00:00:17,0,0.00%,0.00%,$0.00
mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,3,3,00:00:02,2,100.00%,66.67%,$0.00
mwdl.org/collections/KUEDTopazRelocationCenterResidentsCollection.php,3,3,00:08:11,1,100.00%,66.67%,$0.00
mwdl.org/collections/NellShipmanCollection.php,3,3,00:03:52,0,0.00%,0.00%,$0.00
mwdl.org/collections/PeteCennarusaCollection.php,3,3,00:02:17,0,0.00%,0.00%,$0.00
mwdl.org/collections/TaylorWoolleyPhotographCollection.php,3,3,00:00:05,1,100.00%,33.33%,$0.00
mwdl.org/collections/Utah2002OlympicLegacyCollection.php,3,3,00:00:30,1,100.00%,33.33%,$0.00
mwdl.org/collections/UtahValleyUniversityStudentThesesCollection.php,3,2,00:00:16,0,0.00%,0.00%,$0.00
mwdl.org/collections/WelcomeHomeHowardHowardHughesPhotographCollection.php,3,2,00:01:00,2,50.00%,66.67%,$0.00
mwdl.org/events/MWDLMeetingSummer2017.php,3,3,00:00:00,2,100.00%,100.00%,$0.00
mwdl.org/index.php,3,3,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/maps/map_countries.php,3,2,00:00:08,1,0.00%,0.00%,$0.00
mwdl.org/partners/EmeryCountyUTArchives.php,3,1,00:00:09,1,0.00%,0.00%,$0.00
mwdl.org/partners/SouthernUtahUniversitySherrattLibrary.php,3,3,00:00:00,1,100.00%,66.67%,$0.00
mwdl.org/partners/UniversityofOregonLibraries.php,3,3,00:00:10,0,0.00%,0.00%,$0.00
mwdl.org/partners/UtahStateUniversityMerrillCazierLibrary.php,3,3,00:00:13,1,100.00%,33.33%,$0.00
www.mwdl.org/ampcollections/TaylorWoolleyPhotographCollection.php,3,2,00:00:37,2,50.00%,66.67%,$0.00
www.mwdl.org/collections/AlbertTissandierCollection.php,3,3,00:00:40,1,100.00%,33.33%,$0.00
www.mwdl.org/collections/FrazierAugustusBoutellephotographsc18651900.php,3,2,00:00:38,1,0.00%,66.67%,$0.00
www.mwdl.org/collections/GreenRiverLaunchComplexUSAirForce.php,3,3,00:02:27,1,0.00%,0.00%,$0.00
www.mwdl.org/collections/JournalofEastAsianLibraries.php,3,2,00:00:54,1,0.00%,0.00%,$0.00
www.mwdl.org/collections/KarlBodmerAquatintCollection.php,3,3,00:00:59,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/OldEphraim.php,3,2,00:08:20,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/PhiloTFarnsworthTelevisionTubesCollection.php,3,1,00:01:00,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/SanFranciscoCAEarthquakeSnapshots.php,3,3,00:03:19,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/ShiplerCommercialPhotographers.php,3,3,00:01:35,1,100.00%,66.67%,$0.00
www.mwdl.org/collections/SinginSamAginsCollection.php,3,3,00:00:44,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/TopazMuseumCollection.php,3,3,00:00:56,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/TrailsofHopeOverlandDiariesandLetters18461869.php,3,2,00:02:45,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/UniversityofUtahArchivesPhotographCollection.php,3,2,00:00:07,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/UtahDivisionofAnimalIndustryBrandBooks.php,3,3,00:00:29,1,0.00%,66.67%,$0.00
