Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/2148.php,16,13,00:03:03,11,81.82%,68.75%,$0.00
mwdl.org/events/events.php,16,13,00:00:42,13,76.92%,68.75%,$0.00
mwdl.org/getinvolved/repository_setup.php,16,11,00:01:08,5,80.00%,43.75%,$0.00
mwdlnews.blogspot.com/2018/03/oregon-digital-joins-mwdl.html?m=1,16,8,00:00:06,6,50.00%,50.00%,$0.00
mwdl.org/collections/1794.php,15,7,00:00:59,7,42.86%,46.67%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL&indx=1&vl(35820410UI1)=lsr13&vl(freeText1)=African+American+Experience,15,6,00:00:36,4,25.00%,20.00%,$0.00
mwdl.org/collections/1035.php,14,7,00:00:47,7,57.14%,50.00%,$0.00
mwdl.org/collections/2044.php,14,6,00:02:37,5,40.00%,28.57%,$0.00
mwdl.org/index.php?afterTimeout=29F543C86CCA404B8D44DCE4374F911A&vid=MWDL,14,2,00:00:13,1,0.00%,14.29%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_byu_12TrailGuides/2977,14,10,00:00:43,9,88.89%,71.43%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_usl_22library2_lib/29544,14,8,00:03:53,8,62.50%,57.14%,$0.00
mwdl.org/collections/1014.php,13,10,00:08:56,10,80.00%,76.92%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_usu_16Mendon/3183,13,8,00:02:19,8,50.00%,53.85%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_usu_16Topaz/5911,13,11,00:01:24,10,80.00%,84.62%,$0.00
