age,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/collections/ColoradoRiverbedCase.php,4,3,00:00:27,0,0.00%,0.00%,$0.00
mwdl.org/collections/DaughtersoftheUtahPioneersSpringvilleUT.php,4,4,00:00:03,0,0.00%,75.00%,$0.00
mwdl.org/collections/FolkBistro.php,4,4,00:01:41,0,0.00%,0.00%,$0.00
mwdl.org/collections/HistoricalAmericanForkUT.php,4,2,00:00:13,0,0.00%,0.00%,$0.00
mwdl.org/collections/MovingImageArchive.php,4,2,00:00:11,0,0.00%,25.00%,$0.00
mwdl.org/collections/ShiplerCommercialPhotographers.php,4,3,00:00:49,0,0.00%,0.00%,$0.00
mwdl.org/collections/TrailsofHopeOverlandBiographies18461869.php,4,4,00:00:56,0,0.00%,0.00%,$0.00
mwdl.org/partners/DepartmentofHeritageandArts.php,4,3,00:00:13,0,0.00%,25.00%,$0.00
mwdl.org/partners/UintahCountyUTLibrary.php,4,4,00:04:07,1,0.00%,25.00%,$0.00
test.mwdl.org/collections/pCollections.php,4,2,00:03:15,0,0.00%,50.00%,$0.00
www.mwdl.org/ampcollections/EllisReynoldsShippPapers.php,4,1,00:02:32,0,0.00%,25.00%,$0.00
www.mwdl.org/collections/aCollections.php,4,2,00:00:19,0,0.00%,25.00%,$0.00
www.mwdl.org/collections/ArabicPapyrusParchmentandPaperCollection.php,4,3,00:00:14,2,0.00%,50.00%,$0.00
www.mwdl.org/collections/WilliamEdwardHookGlassNegativeCollection.php,4,3,00:01:59,2,50.00%,50.00%,$0.00
www.mwdl.org/getinvolved/policies.php,4,3,00:03:42,1,0.00%,50.00%,$0.00
www.mwdl.org/OldSite/index.php,4,2,00:00:35,2,50.00%,50.00%,$0.00
www.mwdl.org/portals/pioneers.php,4,3,00:00:24,1,0.00%,0.00%,$0.00
mwdl.org/aboutCollections.php,3,2,00:01:44,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/AllenLeighPhotographs.php,3,2,00:00:29,1,0.00%,0.00%,$0.00
mwdl.org/ampcollections/DardHunterBookCollection.php,3,2,00:01:39,0,0.00%,33.33%,$0.00
mwdl.org/ampcollections/LessonsTheJournaloftheCenterforTeachingandLearningExcellence.php,3,2,00:00:09,0,0.00%,0.00%,$0.00
